Deal Date,Deal Sub-Category,Acquirer Company / Merger Participant 1,Target Company / Merger Participant 2,Deal Value,Deal Headline
1/12/2015,Exit,"Roche Holding, Ltd.","Foundation Medicine, Inc.",,"Third Rock Ventures, Kleiner Perkins Caufield & Byers and Google Ventures to sell stake in Foundation Medicine to Roche",
1/12/2015,Majority Acquisition,Auspex Pharmaceuticals,Imphar AG,,Auspex Pharmaceuticals to acquire Imphar,
10/14/2008,100% Acquisition,Nattopharma ASA,MGP Diagnostics AS,0.00 ,NattoPharma acquires 100% stake in MGP Diagnostics,
1/12/2015,Majority Acquisition,"Roche Holding, Ltd.","Foundation Medicine, Inc.",780.00 ,Roche Holding to acquire majority stake in Foundation Medicine,
1/12/2015,Majority Acquisition,DANI Instruments S.A.,"Spectra Analysis Instruments, Inc.",,DANI Instruments acquires Spectra Analysis Instruments,
1/11/2015,Majority Acquisition,Tekmira Pharmaceuticals Corporation,"OnCore Biopharma, Inc.",,Tekmira Pharmaceuticals to acquire OnCore Biopharma,
1/11/2015,Asset Purchase,QIAGEN N.V.,Enzyme Solutions Unit,,QIAGEN acquires Enzyme solutions unit of Enzymatics,
1/11/2015,Majority Acquisition,"Biogen Idec, Inc.","Convergence Pharmaceuticals, Ltd.",675.00 ,Biogen Idec to acquire Convergence Pharmaceuticals,
3/16/2012,100% Acquisition,Abattis Biologix Corporation,Animo Wellness Corporation,0.10 ,Abattis Biologix acquires Animo Wellness,
1/9/2015,Asset Purchase,"Albany Molecular Research, Inc.","Aptuit, LLC - Aseptic clinical manufacturing site",,Albany Molecular Research (AMRI) acquires aseptic clinical manufacturing site from Aptuit,
1/9/2015,Asset Purchase,"Albany Molecular Research, Inc.","Aptuit, LLC - Solid-state chemistry business",,Albany Molecular Research (AMRI) to acquire solid-state chemistry business from Aptuit,
1/9/2015,Majority Acquisition,"WuXi PharmaTech (Cayman), Inc.",NextCODE Health,65.00 ,WuXi PharmaTech acquires NextCode Health,
1/8/2015,Asset Purchase,Pulmonx Corporation,"Aeris Therapeutics, Inc. - Assets",,Pulmonx acquires assets of Aeris Therapeutics,
1/8/2015,Majority Acquisition,"Horizon Discovery, Ltd.",Haplogen Genomics GmbH,15.00 ,Horizon Discovery to acquire Haplogen Genomics,
1/8/2015,Minority Acquisition,"Advanced Accelerator Applications, s.a.",Advanced Accelerator Applications Canada (formerly Atreus Pharmaceuticals Corporation),,Advanced Accelerator Applications to acquire 49.9% stake in Atreus Pharmaceuticals (Advanced Accelerator Applications Canada),
1/8/2015,Asset Purchase,"Harvard Bioscience, Inc.",HEKA Electronics Incorporated|HEKA Electronik - Operations|HEKA Electronik Dr. Schulze GmbH|HEKA Instruments Incorporated,6.00 ,Harvard Bioscience acquires operations of HEKA Electronik,
1/8/2015,"DIRECT INVESTMENT,Minority Acquisition",HealthpointCapital|S3 Ventures,"OrthoAccel Technologies, Inc.",5.00 ,OrthoAccel Technologies closes $5 million equity financing,
1/8/2015,Minority Acquisition,Abingdon Health,"Molecular Vision, Ltd.",,Abingdon Health acquires remaining 45% stake in Molecular Vision,
1/7/2015,Majority Acquisition,Knowlton Development Corporation,Chemaid Laboratories Inc,,Knowlton Development to acquire ChemAid Laboratories,
1/7/2015,"DIRECT INVESTMENT,Minority Acquisition",Cambridge Capital Group|Esperante Ventures|Longwall Venture Partners LLP|Northstar Ventures|Undisclosed Investors*,"UroSens, Ltd.",3.00 ,UroSens secures $3.043 million in financing,
1/7/2015,"DIRECT INVESTMENT,Minority Acquisition",BioMedPartners AG|Eclosion2 &amp; Cie SCPC|Edmond de Rothschild Investment Partners|NeoMed Management AS|Vesalius Biocapital Partners Sarl|VI Partners AG,GenKyoTex S.A.,21.00 ,Genkyotex secures $21 million in Series D financing,
1/7/2015,Majority Acquisition,Adaptive Biotechnologies Corporation (formerly Adaptive TCR Corporation),"Sequenta, Inc. (formerly MLC Dx, Inc.)",,Adaptive Biotechnologies acquires Sequenta,
1/7/2015,Majority Acquisition,BTG plc,"PneumRx, Inc.",475.00 ,BTG acquires PneumRx,
1/6/2015,"DIRECT INVESTMENT,Minority Acquisition",SK Capital Partners,"HALO Pharmaceutical, Inc.",,SK Capital Partners invests in HALO Pharmaceutical,
1/6/2015,Majority Acquisition,Aegis Sciences Corporation,"Diagnovus, LLC",,Aegis Sciences acquires Diagnovus,
1/6/2015,Majority Acquisition,"Anatrace, Inc.",Microlytic,,Anatrace acquires Microlytic,
1/6/2015,"DIRECT INVESTMENT,Minority Acquisition",Ampersand Capital Partners,"CutisPharma, Inc.",,CutisPharma closes equity financing,
1/6/2015,Majority Acquisition,Cardio3 BioSciences SA,"OnCyte, LLC",203.00 ,Cardio3 Biosciences acquires OnCyte from Celdara Medical,
1/5/2015,Majority Acquisition,Empire Genomics LLC,"ID Labs, Inc.",,Empire Genomics acquires ID Labs,
1/5/2015,Majority Acquisition,"Pfizer, Inc.",Redvax GmbH,,Pfizer acquires Redvax,
1/5/2015,Majority Acquisition,Valneva SE,Crucell Sweden AB,,Valneva to acquire Crucell Sweden,
1/5/2015,Majority Acquisition,"Lexmark International, Inc.","Claron Technology, Inc.",31.40 ,Lexmark acquires Claron Technology,
1/2/2015,Asset Purchase,Virbac S.A,Eli Lilly and Company - US veterinary assets,410.00 ,Virbac acquires veterinary assets from Eli Lilly,
1/1/2015,Majority Acquisition,evocatal GmbH,aevotis GmbH,,evocatal acquires aevotis,
1/1/2015,Majority Acquisition,"Elanco India Pvt., Ltd.|Eli Lilly and Company","Novartis Animal Health, Inc.","5,400.00 ",Eli Lilly and Company acquires Novartis Animal Health,
12/31/2014,Majority Acquisition,American Liberty Petroleum Corp.,"Avant Diagnostics, Inc.",,American Liberty Petroleum acquires Avant Diagnostics,
12/31/2014,Asset Purchase,"Dominion Diagnostics, LLC","Aurora Diagnostics, LLC - Blood testing clinical laboratory",,Dominion Diagnostics acquires blood testing clinical laboratory from Aurora Diagnostics,
12/26/2014,"DIRECT INVESTMENT,Minority Acquisition",First Analysis Securities Corporation,"Sonoma Orthopedic Products, Inc.",12.00 ,Sonoma Orthopedic Products secures $12 million in funding,
12/22/2014,Majority Acquisition,ZOLL Medical Corporation,"Advanced Circulatory Systems, Inc.",,ZOLL Medical to acquire Advanced Circulatory Systems,
12/22/2014,--,--,"Uroplasty, Inc.|Vision-Sciences, Inc.",,Uroplasty to merge with Vision-Sciences,
3/1/2012,100% Acquisition,Pall Corporation,"ForteBio, Inc. (formerly Aria Biosystems Corporation)",0.10 ,Pall Corporation acquires ForteBio,
2/6/2006,100% Acquisition,Escalon Medical Corp.,"MRP Group, Inc.",0.10 ,Escalon completes acquistion of MRP Group,
12/19/2014,"DIRECT INVESTMENT,Minority Acquisition",Fonds de solidarite FTQ,ZymeWorks Inc.,4.00 ,Fonds de solidarite FTQ invests $4 million in Zymeworks,
12/19/2014,Majority Acquisition,"Roche Holding, Ltd.","Bina Technologies, Inc.",,Roche acquires Bina Technologies,
12/18/2014,Demerger / Spin-off,--,"Centerline Biomedical, Inc.",,Cleveland Clinic Innovations spins out Centerline Biomedical,
12/18/2014,Majority Acquisition,"Merck &amp; Co., Inc. (formerly Schering-Plough Corporation)",OncoEthix SA,375.00 ,Merck acquires OncoEthix,
12/18/2014,Majority Acquisition,"Roche Holding, Ltd.",Dutalys GmbH,488.80 ,Roche to acquire Dutalys,
12/18/2014,Majority Acquisition,"Otsuka Pharmaceutical Co., Ltd.|Pharmavite, LLC","Food State, Inc.",,Pharmavite acquires FoodState,
12/18/2014,Exit,--,"Avalanche Biotechnologies, Inc.",,Venrock to sell stake in Avalanche Biotechnologies through public offering,
12/18/2014,Exit,"Merck &amp; Co., Inc. (formerly Schering-Plough Corporation)",OncoEthix SA,,"Index Ventures, Endeavour, SV Life Sciences, and Edmond de Rothschild exit investment in OncoEthix",
12/18/2014,Minority Acquisition,Fujifilm Diosynth Biotechnologies U.S.A. Inc.,"Kalon Biotherapeutics, LLC",,FUJIFILM Diosynth Biotechnologies acquires 49% stake in Kalon Biotherapeutics,
12/17/2014,Majority Acquisition,Prima BioMed Ltd,Immutep S.A.,28.00 ,Prima BioMed acquires Immutep,
12/17/2014,Exit,Prima BioMed Ltd,Immutep S.A.,,Consortium of investors exits investment in Immutep,
12/6/2005,100% Acquisition,BMP Sunstone Corporation,Wanwei Corporation,0.10 ,Beijing Med-Pharm acquires Wanwei Corporation,
12/17/2014,Minority Acquisition,MedCannAccess,CannScience Innovations Inc.,,MedCannAccess acquires minority equity stake in CannScience Innovations,
12/17/2014,Asset Purchase,KCR S.A. (formerly Kiecana Clinical Research Sp. z o.o.),"Axis group, Ltd. - Clinical project portfolio",,KCR acquires clinical project portfolio from Axis group,
12/17/2014,Majority Acquisition,Astorg Partners|Montagu Private Equity LLP,SEBIA SA,"1,747.00 ",Astorg Partners and Montagu Private Equity acquire Sebia,
12/16/2014,"DIRECT INVESTMENT,Minority Acquisition",Index Ventures,"Stealthyx Therapeutics, Ltd.",3.10 ,Stealthyx Therapeutics secures $3.138 million in Series A financing,
12/16/2014,Minority Acquisition,Undisclosed Acquirer,WEIFA AS,0.20 ,Aqualis Holdco sells shares of Weifa,
12/16/2014,Majority Acquisition,Sosei Group Corporation,"Jitsubo Co., Ltd.",3.60 ,Sosei Group acquires Jitsubo,
5/31/2003,100% Acquisition,Sonic Innovations GmbH (formerly PALME Verwaltungsgellschaft mbH),Sanomed Handelsgesellschaft mbH,0.10 ,PALME Verwaltungsgellschaft acquires Sanomed Handelsgesellschaft,
12/16/2014,Exit,"Evolva Holding SA (formerly Arpida, Ltd.)","Allylix, Inc.",61.40 ,Investor consortium sells Allylix to Evolva,
12/15/2014,"Minority Acquisition,Secondary Buy-out",Actis Capital LLP,Integrated Diagnostics Holding,,Actis invests in Integrated Diagnostics Holdings,
12/15/2014,Majority Acquisition,"Orliman, S.L.",Soft Medical Europe,,Orliman acquires Soft Medical Europe,
12/15/2014,Majority Acquisition,"Hantian Labs, Ltd.",Gravity Nutritionals,,Hantian Labs acquires Gravity Nutritionals,
12/15/2014,Exit,Actis Capital LLP,Integrated Diagnostics Holding,,Abraaj Group partially exits 21% stake in Integrated Diagnostics Holdings,
12/15/2014,"DIRECT INVESTMENT,Minority Acquisition",Undisclosed Investors*|York Capital Management,"InSightec, Ltd.",59.00 ,InSightec raises $59 million Series D financing,
12/12/2014,Majority Acquisition,Abbott Laboratories,Limited Liability Company Garden Hills|OAO Veropharm,305.00 ,Abbott acquires Veropharm and Limited Liability Company Garden,
12/11/2014,Majority Acquisition,Prescient Therapeutics Limited (Formerly Virax Holdings Limited),"Aktivate Therapeutics Pty, Ltd.",0.40 ,Prescient Therapeutics (Virax Holdings) acquires Aktivate Therapeutics,
12/11/2014,Majority Acquisition,Danaher Corporation,Nobel Biocare Holding AG,"2,200.00 ",Danaher acquires Nobel Biocare,
12/10/2014,Majority Acquisition,"Synergetics USA, Inc.","Sterimedix, Ltd.",13.50 ,Synergetics USA acquires Sterimedix,
12/10/2014,Majority Acquisition,"Collagen Solutions, Plc",Southern Lights Biomaterials,9.40 ,Collagen Solutions acquires Southern Lights Biomaterials,
12/8/2014,Majority Acquisition,"Midatech Pharma, Plc (formerly Midatech, Ltd.)","Q Chip, Ltd.",,Midatech Pharma acquires Q Chip,
9/1/2002,100% Acquisition,"Odyssey Healthcare, Inc.","Lutheran Home, Inc.",0.10 ,Odyssey Healthcare Purchased all the Assets and Business of The Lutheran Home,
12/8/2014,Majority Acquisition,Eurofins Scientific S.A.,Boston Heart Diagnostics,200.00 ,Eurofins Scientific to acquire Boston Heart Diagnostics,
12/8/2014,"DIRECT INVESTMENT,Minority Acquisition",ALTO INVEST|Undisclosed Investors*,Novacyt SAS,3.80 ,Novacyt to raise $3.81 million in private equity placement financing,
12/8/2014,"DIRECT INVESTMENT,Minority Acquisition",Cultivian Sandbox|Intersouth Partners|Kansas Bioscience Authority|Laboratory Corporation of America Holdings|Middleland Capital|Novartis Venture Funds|Undisclosed Investors*,Advanced Animal Diagnostics,15.00 ,Advanced Animal Diagnostics closes oversubscribed $15 million Series C financing,
12/5/2014,Majority Acquisition,Laboratory Corporation of America Holdings,"The Bode Technology Group, Inc.",,Laboratory Corporation of America Holdings (LabCorp) acquires Bode Technology,
12/5/2014,Majority Acquisition,"Shanghai Fosun Pharmaceutical Group Co., Ltd.","Suzhou Erye Pharmaceutical Co., Ltd.",137.00 ,Shanghai Fosun Pharmaceutical to acquire 65% stake in Suzhou Erye Pharmaceutical,
12/5/2014,Asset Purchase,"Aurobindo Pharma USA, Inc.","Natrol, Inc. - Assets",132.50 ,Aurobindo Pharma acquires assets of Natrol,
12/5/2014,Asset Purchase,"Tecomet, Inc.",OEM solutions - Business,450.00 ,Tecomet acquires Symmetry Medicals' OEM Solutions Business,
12/4/2014,Majority Acquisition,Leica Biosystems Nussloch GmbH,"Devicor Medical Products, Inc.",,Leica Biosystems acquires Devicor Medical Products,
12/4/2014,"DIRECT INVESTMENT,Minority Acquisition",Kohlberg Kravis Roberts &amp; Co. L.P.,Arbor Pharmaceuticals,,Kohlberg Kravis Roberts to invest in Arbor Pharmaceuticals,
12/4/2014,Exit,BTG plc,"PneumRx, Inc.",,Investor Consortium to sell PneumRx to BTG,
12/4/2014,Asset Purchase,Merial Limited,"Merck &amp; Co., Inc. - Manufacturing facility",,Merial to acquire Merck's manufacturing facility in Barceloneta Puerto Rico,
12/4/2014,Asset Purchase,Johnson Matthey Plc,Bakhu Pharma - pharmaceutical manufacturing capacity,,Johnson Matthey acquires pharmaceutical manufacturing capacity from Bakhu Pharma,
12/3/2014,"DIRECT INVESTMENT,Minority Acquisition","BioMedInvest AG I|Renaissance PME|Sunstone Capital A/S|Undisclosed Investors*|WJFS, Inc.",ANERGIS SA,15.00 ,Anergis secures $15 million in Series B financing,
12/3/2014,Majority Acquisition,"Noble Life Sciences, Inc.","Spring Valley Laboratories, Inc.",,Noble Life Sciences acquires Spring Valley Laboratories,
12/3/2014,"Minority Acquisition,None",SV Life Sciences (formerly Schroder Ventures Life Sciences)|Undisclosed Investors*,"Direct Flow Medical, Inc.",17.00 ,Direct Flow Medical secures $17 million in private equity financing,
12/2/2014,Majority Acquisition,"Roche Holding, Ltd.","Ariosa Diagnostics (formerly Aria Diagnostics, Inc.)",,Roche Holding to acquire Ariosa Diagnostics,
12/1/2014,Asset Purchase,Recipharm AB,Flamel Technologies SA - Development and manufacturing facility,13.20 ,Recipharm acquires Flamel's development and manufacturing facility,
12/1/2014,Asset Purchase,"Pfizer, Inc.","Baxter International, Inc. - Commercial Vaccines Business",635.00 ,Pfizer acquires commercial vaccines business of Baxter International,
11/30/2014,Majority Acquisition,"Autocam Medical Devices, LLC","Southeastern Technology, Inc.",,Autocam Medical acquires Southeastern Technology,
11/28/2014,Majority Acquisition,Siegfried Holding AG,hameln group gmbh|hameln pharmaceuticals gmbh|hameln rds gmbh,62.40 ,Siegfried acquires Hameln Pharma,
11/27/2014,"DIRECT INVESTMENT,Minority Acquisition",BioMedInvest AG I|Lee’s Pharmaceutical Holdings Limited|Life Sciences Partners|Rosetta Capital Limited (formerly Bioscience Managers Limited),EyeSense AG,,EyeSense secures financing,
11/27/2014,Majority Acquisition,BSN medical GmbH,"Die sorbion GmbH &amp; Co., KG.",,BSN medical acquires Die sorbion (Sorbion),
11/26/2014,"DIRECT INVESTMENT,Minority Acquisition",Ally Bridge Group,Pieris AG,8.30 ,Pieris secures $8.3 million in fifth financing round,
7/1/2002,100% Acquisition,"Odyssey Healthcare, Inc.","Palliative Hospice Center, LLC",0.10 ,Odyssey Healthcare Purchased all the Assets and Business of Palliative Hospice Center,
11/25/2014,--,--,"Cocrystal Pharma, Inc.|RFS Pharma, LLC",,RFS Pharma merges with Cocrystal Pharma,
11/25/2014,Majority Acquisition,Corin Group Plc,"Optimized Ortho Pty., Ltd.",,Corin Group acquires Optimized Ortho,
4/14/2000,100% Acquisition,"Warnex, Inc.",Norscience Inc.,0.10 ,Warnex to acquire New Technology and a Research and Development Laboratory,
7/29/1998,100% Acquisition,"NovaDel Pharma, Inc.",Goldmark Biologicals,0.10 ,Novadel Pharma acquires Goldmark Biologicals,
11/21/2014,Majority Acquisition,Laboratory Corporation of America Holdings,"LipoScience, Inc.",85.30 ,Laboratory Corporation of America Holdings acquires LipoScience,
11/20/2014,Exit,"Apellis Pharmaceuticals, Inc.","Potentia Pharmaceuticals, Inc.",,HealthCare Ventures and MASA Life Science to sell stake in Potentia Pharmaceuticals to Apellis Pharmaceuticals,
11/20/2014,Majority Acquisition,"Apellis Pharmaceuticals, Inc.","Potentia Pharmaceuticals, Inc.",,Apellis Pharmaceuticals to acquire Potentia Pharmaceuticals,
11/20/2014,"DIRECT INVESTMENT,Minority Acquisition","Battelle Ventures|Domain Associates, LLC|Federated Kaufmann Fund|Gund Investment Corporation|Legend Capital|Monashee Investment Management, LLC|Novartis Venture Funds","BioNanomatrix, Inc.",53.00 ,BioNano Genomics closes $53 million Series C financing,
11/20/2014,Exit,Advance Properties OOD,Huvepharma AD,,TRG Growth Fund II sells 36.6% stake in Huvepharma to Advance Properties,
11/20/2014,Minority Acquisition,Advance Properties OOD,Huvepharma AD,,Advance Properties acquires 36.6% stake in Huvepharma from TRG Growth Fund II,
11/19/2014,Asset Purchase,"Migranade, Inc.","Oasis Health Products, Inc. - Pharmaceutical manufacturing facility and operation",,Migranade acquires pharmaceutical manufacturing facility and operation of Oasis Health Care Products,
11/19/2014,Majority Acquisition,"Kelyniam Global, Inc.","Med-Ally, LLC",,Kelyniam Global acquires MED-ALLY,
11/19/2014,"DIRECT INVESTMENT,Minority Acquisition",The CF Woodford Equity Income Fund,"Northwest Biotherapeutics, Inc.",25.00 ,Northwest Biotherapeutics raises $25 million in equity financing,
11/19/2014,Majority Acquisition,Xiantao City Pioneer Pharma Company Limited,"Shenyang Zhiying Pharmaceutical Co., Ltd.",,Xiantao City Pioneer Pharma to acquire 51% of Shenyang Zhi Ying Pharmaceutical,
11/18/2014,"Majority acquisition,Secondary Buy-out",LBO France,FH Orthopedics,,LBO France acquires Fournitures Hospitalieres (FH Orthopedics),
11/18/2014,Exit,LBO France,FH Orthopedics,,Matignon and Bpifrance sell stake in Fournitures Hospitalieres (FH Orthopedics) to LBO France,
11/18/2014,Majority Acquisition,"CoorsTek Medical, LLC",Nanosurfaces Industries Srl. (NSI),,CoorsTek Medical acquires Nanosurfaces Industries,
11/18/2014,Asset Purchase,"Vivex Biomedical, Inc.",University of Miami's Tissue Bank (UMTB) - Assets,,Vivex Biomedical acquires assets of University of Miami's Tissue Bank (UMTB),
11/17/2014,Exit,Baring Private Equity Asia|The Baring Asia Private Equity Fund,Bushu Pharmaceuticals Ltd.,664.90 ,Tokio Marine Capital to sell 100% of Bushu Pharmaceuticals to Baring Asia,
11/17/2014,"100% acquisition,Secondary Buy-out",Baring Private Equity Asia|The Baring Asia Private Equity Fund,Bushu Pharmaceuticals Ltd.,664.90 ,Baring Asia to acquire 100% of Bushu Pharmaceuticals from Tokio Marine Capital,
11/17/2014,Majority Acquisition,"Actavis, plc","Allergan, Inc.","66,000.00 ",Actavis to acquire Allergan,
11/17/2014,Asset Purchase,"Corpak MedSystems, Inc. (formerly MedSystems)",Maxter Catheters - Business,,CORPAK MedSystems acquires business of Maxter Catheters,
11/17/2014,Asset Purchase,ZOLL Medical Corporation,Koninklijke Philips Electronics N.V. - InnerCool(TM) temperature management business assets,,ZOLL Medical to acquire assets of InnerCool temperature management business from Philips,
11/17/2014,Asset Purchase,"Zoetis, Inc.",Abbott Animal Health - Assets,255.00 ,Zoetis to acquire assets of Abbott Animal Health,
11/17/2014,Majority Acquisition,"Valeant Pharmaceuticals International, Inc. (formerly Biovail Corporation)","NicOx, Inc.",20.00 ,Valeant Pharmaceuticals International acquires Nicox,
11/30/2012,100% Acquisition,"Chengdu Tianyin Pharmaceutical Co., Ltd.","Sichuan Hengshuo Pharmaceutical Co., Ltd",0.20 ,Chengdu Tianyin acquires 100% of Sichuan Hengshuo Pharmaceutical,
11/14/2014,"Majority acquisition,None","Main Market Partners, LLC","Ricerca Biosciences, LLC",,Main Market Partners acquires Ricerca Biosciences,
11/14/2014,Majority Acquisition,Techne Corporation (doing business as Bio-Techne),"CyVek, Inc.",95.00 ,Bio-Techne acquires CyVek,
11/13/2014,Exit,--,Horizon Pharma Public Limited Company (Vidara Therapeutics International Limited),36.20 ,Essex Woodlands Health Ventures to sell stake in Horizon Pharma through public offering,
11/13/2014,"DIRECT INVESTMENT,Minority Acquisition","BDC Capital|Birchview Capital, LP|The Vertical Group","Monteris Medical Holdings, Inc.",,Monteris Medical Holdings secures Series B financing,
11/13/2014,Majority Acquisition,Recipharm AB,Lusomedicamenta Sociedade Tecnica Farmaceutica S.A,140.50 ,Recipharm acquires Lusomedicamentav Sociedade Tecnica Farmaceutica,
6/21/2012,100% Acquisition,"PharmaCyte Biotech, Inc. (Formerly Nuvilex, Inc.)","Austrianova Singapore Pte., Ltd.",0.20 ,Nuvilex acquires SG Austria (AUSTRIANOVA Singapore),
11/13/2014,Majority Acquisition,"Zappy, Inc.",Browns Botanicals,,Zappy to acquire Browns Botanicals,
11/12/2014,Minority Acquisition,The Siam Cement Public Company Limited,Lysando Holding AG,,Siam Cement acquires 20% stake in Lysando,
11/12/2014,"DIRECT INVESTMENT,Minority Acquisition",HealthCare Royalty Partners,"Helomics Corporation (formerly Precision Therapeutics, Inc.)",60.00 ,Helomics raises $60 million in financing,
11/12/2014,Minority Acquisition,Valorem Surgical,"NHS Bio Co., Ltd.",,Valorem Surgical to acquire equity interest in NHS Bio,
11/12/2014,Majority Acquisition,GVK Biosciences Private Limited,Vanta Bioscience LC,,GVK Biosciences acquires Vanta Bioscience,
11/12/2014,Majority Acquisition,Consort Medical plc.,Aesica Pharmaceuticals Limited,373.50 ,Consort Medical acquires Aesica Pharmaceuticals,
11/12/2014,Majority Acquisition,"AMAG Pharmaceuticals, Inc. (formerly Advanced Magnetics, Inc.)",Lumara Health Inc (formerly KV Pharmaceutical Company),"1,062.10 ",AMAG Pharmaceuticals acquires Lumara Health,
11/11/2014,"DIRECT INVESTMENT,Minority Acquisition",TPG Growth,Renaissance RX,,TPG Growth acquires minority stake in Renaissance Rx,
11/11/2014,"DIRECT INVESTMENT,Minority Acquisition","Clarus Ventures, LLC|Elevage Capital Management, LLC|Hercules Technology Growth Capital|Undisclosed Investors*",Flowonix Medical (formerly Medasys Incorporated),20.00 ,Flowonix Medical secures $20 million in equity financing,
11/11/2014,Majority Acquisition,SAMI LABS LIMITED,KCP Biotech Limited,,Sami Labs acquires KCP Biotech,
11/10/2014,"DIRECT INVESTMENT,Minority Acquisition","Alloy Ventures|Clarus Ventures, LLC|InterWest Partners LLC|Sutter Hill Ventures|Undisclosed Investors*","Restoration Robotics, Inc",45.00 ,Restoration Robotics raises $45 million in Series C financing,
11/10/2014,"Minority Acquisition,Secondary Buy-out",Temasek Holdings (Private) Limited,"Intas Pharmaceuticals, Ltd.",,Temasek Holdings acquires 10.16% stake in Intas Pharmaceuticals,
11/10/2014,Exit,Temasek Holdings (Private) Limited,"Intas Pharmaceuticals, Ltd.",,ChrysCapital sells Intas Pharmaceuticals to Temasek Holdings,
11/7/2014,Majority Acquisition,VWR Corp.,"STI Components, Inc.",,VWR acquires STI Components,
11/7/2014,Majority Acquisition,VWR Corp.,"Integra Companies, Inc.",,VWR acquires Integra Companies,
11/7/2014,Asset Purchase,"Pharmgate, LLC",Pennfield Animal Health - Assets,,Pharmgate acquires assets of Pennfield Animal Health,
11/7/2014,Majority Acquisition,Johnson &amp; Johnson,"Alios BioPharma, Inc.","1,750.00 ",Johnson & Johnson acquires Alios BioPharma,
11/6/2014,Majority Acquisition,Perrigo Company plc (formerly Perrigo Company Limited),Omega Pharma NV,"4,505.90 ",Perrigo Company to acquire Omega Pharma,
11/6/2014,Exit,Perrigo Company plc (formerly Perrigo Company Limited),Omega Pharma NV,,Waterland Private Fund to sell stake in Omega Pharma to Perrigo Company,
11/6/2014,"Majority acquisition,None",EQT VI|Santo Holding AG,Siemens Audiology Solutions,"2,691.10 ",EQT VI and Santo to acquire Siemens Audiology Solutions from Siemens,
11/6/2014,"Majority acquisition,Secondary Buy-out",DFJ Esprit LLP (formerly Esprit Capital Partners),Pulmagen Therapeutics Limited,,DFJ Esprit to acquire TTP Ventures' investment in Pulmagen Therapeutics,
11/6/2014,Exit,DFJ Esprit LLP (formerly Esprit Capital Partners),Pulmagen Therapeutics Limited,,TTP Ventures to exit investment in Pulmagen Therapeutics to DFJ Esprit,
11/6/2014,Majority Acquisition,"TIDI Products, LLC",CFI Medical Solutions,,TIDI Products acquires CFI Medical Solutions,
11/5/2014,Majority Acquisition,Cardio3 BioSciences SA,"CorQuest Medical, Inc.",,Cardio3 BioSciences acquires CorQuest Medical,
11/5/2014,"Institutional Buy-out (IBO),Majority acquisition",SV Life Sciences (formerly Schroder Ventures Life Sciences),Ximedica,,SV Life Sciences acquires majority interest in Ximedica,
11/4/2014,Exit,--,"Quintiles Transnational Holdings, Inc.",,Consortium of investors to sell stake in Quintiles Transnational Holdings through public offering,
11/4/2014,Majority Acquisition,Valeant Canada Limited,"CROMA Pharma Canada, LTD.",,Valeant Canada acquires CROMA Pharma Canada,
